0:0,-1,-1,1,2,1,13
1:1,0,-1,34,-1,1,13
2:10,0,-1,-1,-1,1,1
3:17,1,-1,5,-1,1,13
4:17,29,-1,30,-1,1,13
5:6,3,-1,6,-1,1,13
6:3,5,-1,-1,-1,1,2
7:9,1,-1,-1,-1,1,8
8:9,7,-1,-1,-1,1,8
9:8,28,-25,35,18,1,23
10:8,35,28,11,12,1,23
11:5,10,-1,3,-1,1,13
12:9,10,-201,13,-1,1,13
13:5,12,-1,-1,-1,1,1
14:8,35,29,15,16,1,23
15:5,14,-1,3,-1,1,13
16:6,14,-1,17,-1,1,13
17:3,16,-1,-1,-1,1,2
18:8,9,23,20,26,1,23
19:9,18,-1,-1,-1,1,8
20:8,19,17,21,24,1,8
21:9,20,-202,22,23,1,8
22:5,21,-1,-1,-1,1,1
23:5,21,-1,3,-1,1,13
24:6,20,-1,25,-1,1,8
25:3,24,-1,-1,-1,1,2
26:6,18,-1,27,-1,1,8
27:3,26,-1,-1,-1,1,2
28:20,7,-1,9,29,1,0
29:19,28,-1,4,4,1,13
30:8,4,15,31,32,1,13
31:5,30,-1,4,-1,1,13
32:6,30,-1,33,-1,1,13
33:3,32,-1,-1,-1,1,2
34:5,1,-1,3,-1,1,13
35:8,9,-25,10,14,1,23
36:11,-1,-1,-1,-1,1,2
