node = 3,0,-1,-1,-1,14,value + 2 * -3,1,2,14,0,7,9,14,2
node = 1,0,0,1,0,-1,value,-1,-1,14,0,7,9,14,-1
node = 3,0,0,-1,-1,16,2 * -3,3,4,14,0,7,9,14,2
node = 0,0,2,-1,-1,-1,2,-1,-1,14,0,7,9,14,2
node = 2,0,2,-1,-1,15,-3,5,-1,14,0,7,9,14,2
node = 0,0,4,-1,-1,-1,3,-1,-1,14,0,7,9,14,2
node = 3,1,-1,-1,-1,16,(value + 1) * 2,7,10,14,24,9,35,15,2
node = 3,1,6,-1,-1,14,value + 1,8,9,14,24,9,35,15,2
node = 1,1,7,1,0,-1,value,-1,-1,14,24,9,35,15,-1
node = 0,1,7,-1,-1,-1,1,-1,-1,14,24,9,35,15,2
node = 0,1,6,-1,-1,-1,2,-1,-1,14,24,9,35,15,2
node = 2,2,-1,-1,-1,15,-value,12,-1,14,51,8,61,6,2
node = 1,2,11,1,0,-1,value,-1,-1,14,51,8,61,6,-1
node = 4,3,-1,-1,-1,-1,true,-1,-1,14,68,7,77,4,23
node = 3,4,-1,-1,-1,29,value > 0,15,16,14,82,10,94,9,23
node = 1,4,14,1,0,-1,value,-1,-1,14,82,10,94,9,-1
node = 0,4,14,-1,-1,-1,0,-1,-1,14,82,10,94,9,2
node = 3,5,-1,-1,-1,-25,true and not false,18,19,14,104,8,114,18,23
node = 4,5,17,-1,-1,-1,true,-1,-1,14,104,8,114,18,23
node = 2,5,17,-1,-1,-26,not false,20,-1,14,104,8,114,18,23
node = 4,5,19,-1,-1,-1,false,-1,-1,14,104,8,114,18,23
node = 3,6,-1,-1,-1,24,true != false,22,23,14,133,11,146,13,23
node = 4,6,21,-1,-1,-1,true,-1,-1,14,133,11,146,13,23
node = 4,6,21,-1,-1,-1,false,-1,-1,14,133,11,146,13,23
node = 1,7,-1,1,0,-1,value,-1,-1,14,160,8,168,5,-1
node = 1,8,-1,1,0,-1,value,-1,-1,14,174,8,182,5,-1
